title,link,date
Feature: China medical team provides urgent medical support to South Sudan orphans,https://english.news.cn/africa/20240929/b5aae53ad4114c868f2fac625953d8fb/c.html,2024-09-29 19:43:15
Malawi starts 2nd phase of China-aided satellite TV project,https://english.news.cn/africa/20240928/80ec58fc1d85491795042dd671f04d43/c.html,2024-09-28 20:10:30
Chinese Embassy in Zimbabwe celebrates 75th founding anniversary of PRC,https://english.news.cn/africa/20240928/0ddcd11d0c4a4879b3b47a61f4d39643/c.html,2024-09-28 01:28:16
"China to host global summit for science parks, innovation hubs in 2025",https://english.news.cn/africa/20240928/e3a8489a8cdf42da8325ea56da1d7c9a/c.html,2024-09-27 23:57:30
Ugandan president commissions Chinese-built mega hydropower project,https://english.news.cn/africa/20240927/37c3fbbd552a4a808c71a45be18688e2/c.html,2024-09-27 22:13:15
Officials say Chinese investors help boost Kenya's economy,https://english.news.cn/africa/20240927/0ab4c366669f45d8bd0a0e2ad219fabd/c.html,2024-09-27 21:53:30
Chinese embassy in Zambia holds reception to mark 75th anniversary of PRC,https://english.news.cn/africa/20240927/a6a7cff440b240a2a21e89c1129971ae/c.html,2024-09-27 20:55:30
Angolan officials hail strong cooperation with China,https://english.news.cn/africa/20240927/371764202ef0442ca5be5276acad34fa/c.html,2024-09-27 20:34:15
China's support in infrastructure construction transforms Malawi: minister,https://english.news.cn/africa/20240927/e20a27ed48ce4defa921fe682a7a6498/c.html,2024-09-27 20:32:30
24 female students in DR Congo awarded Chinese scholarship,https://english.news.cn/africa/20240927/9f82f61c498e4c52b18d1563c25c1609/c.html,2024-09-27 20:31:30
China-Tunisia forum spotlights cultural exchanges,https://english.news.cn/africa/20240927/2f7435c6ab8f456a8d644969fa6e05f0/c.html,2024-09-27 06:06:45
Chinese medical team to extend free surgical treatment in Ghana,https://english.news.cn/africa/20240927/77dbf24ac0834e68a99b6a4b58fbee98/c.html,2024-09-27 01:27:00
Uganda hails China as strategic partner in accelerating development,https://english.news.cn/africa/20240927/3e32ceeaee6f4214a3672a4bd7dcd3fc/c.html,2024-09-27 01:18:30
Interview: Egypt seeks to boost Chinese investments across key sectors: official,https://english.news.cn/africa/20240927/ad6df8ecac194f758377f682787d505a/c.html,2024-09-27 01:11:30
Rising Sino-African trade drives demand for Chinese yuan: experts,https://english.news.cn/africa/20240927/b65d3b946487452aaf4e6d973768b28d/c.html,2024-09-27 00:04:16
Ethiopian minister lauds China's role in Ethiopia's development,https://english.news.cn/africa/20240927/3ee3ec821b6444b0b0511e6724988ecd/c.html,2024-09-26 23:47:15
PLA Navy vessel to participate in navy festival in South Africa,https://english.news.cn/africa/20240926/b6ec5ef86f3c4fcf83d78cb4f5a1f81e/c.html,2024-09-26 16:57:00
Tanzania inspired by China's modernization: minister,https://english.news.cn/africa/20240926/399de8924b7e4f00be9e48c53ea8f6c6/c.html,2024-09-26 00:42:45
Huawei leveraging smart technologies to advance Kenya's sustainability agenda,https://english.news.cn/africa/20240926/9e6a7436847a43ff801c2fd4f1c3925f/c.html,2024-09-26 00:23:15
"BRI ""well-placed"" in DR Congo: minister",https://english.news.cn/africa/20240925/5107ef3e48544dd3a0629c571da0af0b/c.html,2024-09-25 18:05:45
Chinese embassy in Somalia marks 75th anniversary of People's Republic of China,https://english.news.cn/africa/20240925/68ed515c4ed343c5b65ee11664ec38f6/c.html,2024-09-25 01:46:00
"Chinese, Ethiopian diplomats call for establishing int'l mediation organization",https://english.news.cn/africa/20240925/37268d208312421ab13a828eee644a04/c.html,2024-09-25 01:36:15
Chinese firms seek African partners at China homelife trade fair,https://english.news.cn/africa/20240925/43e81b39f77942c1bd7f668508320a04/c.html,2024-09-25 00:56:30
Chinese home appliance giant Haier launches groundbreaking ceremony for 40-mln-USD plant in Egypt,https://english.news.cn/africa/20240924/36f9c02020ad4d0ba6135c54b62c61fb/c.html,2024-09-24 23:05:15
Chinese automakers eye opportunities in African market,https://english.news.cn/africa/20240923/b8414dfe659647e0ae5b57f7a5e2e6c3/c.html,2024-09-23 22:16:45
South African officials praise China's achievements ahead of its 75th anniversary,https://english.news.cn/africa/20240923/bb10de352dbc449196b166351d9d66d0/c.html,2024-09-23 20:46:45
50th anniversary of China Road and Bridge Corporation's presence in Rwanda celebrated,https://english.news.cn/africa/20240922/848b24294f9a4228836a23a42f871b45/c.html,2024-09-22 22:20:15
Interview: Beijing Culture Forum offers new global platform for cultural exchange -- Egyptian expert,https://english.news.cn/africa/20240920/e42c45f14491497085b08029faefebe1/c.html,2024-09-20 15:50:45
